pattern,metric,sign_flip_boundary,positive_providers,negative_providers,zero_providers
branch_conditional,internal_coherence_error_rate,False,,gemini,"anthropic,openai"
branch_conditional,irp_monotonic_progress_rate,True,gemini,"anthropic,openai",
branch_conditional,irp_oscillation_rate,True,"anthropic,openai",gemini,
branch_conditional,misinterpretation_rate,True,"anthropic,openai",gemini,
branch_conditional,rework_cost_tokens,True,"anthropic,openai",gemini,
branch_conditional,self_contradiction_rate,False,,gemini,"anthropic,openai"
branch_conditional,stability_variance,True,"anthropic,openai",gemini,
branch_conditional,trace_completeness,False,,gemini,"anthropic,openai"
branch_conditional,update_consistency,False,,gemini,"anthropic,openai"
conditional_branch,internal_coherence_error_rate,False,,,"anthropic,gemini,openai"
conditional_branch,irp_monotonic_progress_rate,False,,"anthropic,gemini,openai",
conditional_branch,irp_oscillation_rate,False,"anthropic,gemini,openai",,
conditional_branch,misinterpretation_rate,False,"anthropic,gemini,openai",,
conditional_branch,rework_cost_tokens,False,"anthropic,gemini,openai",,
conditional_branch,self_contradiction_rate,False,gemini,,"anthropic,openai"
conditional_branch,stability_variance,False,"anthropic,gemini,openai",,
conditional_branch,trace_completeness,False,,,"anthropic,gemini,openai"
conditional_branch,update_consistency,False,gemini,,"anthropic,openai"
conditional_delta,internal_coherence_error_rate,False,,gemini,"anthropic,openai"
conditional_delta,irp_monotonic_progress_rate,False,,"anthropic,gemini,openai",
conditional_delta,irp_oscillation_rate,False,"anthropic,gemini,openai",,
conditional_delta,misinterpretation_rate,True,"anthropic,openai",gemini,
conditional_delta,rework_cost_tokens,True,"anthropic,openai",gemini,
conditional_delta,self_contradiction_rate,False,,gemini,"anthropic,openai"
conditional_delta,stability_variance,False,"anthropic,gemini,openai",,
conditional_delta,trace_completeness,False,,gemini,"anthropic,openai"
conditional_delta,update_consistency,False,,gemini,"anthropic,openai"
conditional_hierarchical,internal_coherence_error_rate,False,,gemini,"anthropic,openai"
conditional_hierarchical,irp_monotonic_progress_rate,True,gemini,"anthropic,openai",
conditional_hierarchical,irp_oscillation_rate,True,"anthropic,openai",gemini,
conditional_hierarchical,misinterpretation_rate,True,"anthropic,openai",gemini,
conditional_hierarchical,rework_cost_tokens,True,"anthropic,openai",gemini,
conditional_hierarchical,self_contradiction_rate,False,,gemini,"anthropic,openai"
conditional_hierarchical,stability_variance,False,"anthropic,gemini,openai",,
conditional_hierarchical,trace_completeness,False,,gemini,"anthropic,openai"
conditional_hierarchical,update_consistency,False,,gemini,"anthropic,openai"
delta_conditional,internal_coherence_error_rate,False,,,"anthropic,gemini,openai"
delta_conditional,irp_monotonic_progress_rate,False,,"gemini,openai",anthropic
delta_conditional,irp_oscillation_rate,False,"gemini,openai",,anthropic
delta_conditional,misinterpretation_rate,False,"gemini,openai",,anthropic
delta_conditional,rework_cost_tokens,True,"gemini,openai",anthropic,
delta_conditional,self_contradiction_rate,False,gemini,,"anthropic,openai"
delta_conditional,stability_variance,False,"gemini,openai",,anthropic
delta_conditional,trace_completeness,False,,,"anthropic,gemini,openai"
delta_conditional,update_consistency,False,gemini,,"anthropic,openai"
delta_hierarchical,internal_coherence_error_rate,False,gemini,,"anthropic,openai"
delta_hierarchical,irp_monotonic_progress_rate,False,,"gemini,openai",anthropic
delta_hierarchical,irp_oscillation_rate,False,"gemini,openai",,anthropic
delta_hierarchical,misinterpretation_rate,False,"gemini,openai",,anthropic
delta_hierarchical,rework_cost_tokens,True,"gemini,openai",anthropic,
delta_hierarchical,self_contradiction_rate,False,gemini,,"anthropic,openai"
delta_hierarchical,stability_variance,False,"gemini,openai",,anthropic
delta_hierarchical,trace_completeness,False,gemini,,"anthropic,openai"
delta_hierarchical,update_consistency,False,gemini,,"anthropic,openai"
hierarchical_conditional,internal_coherence_error_rate,False,,gemini,"anthropic,openai"
hierarchical_conditional,irp_monotonic_progress_rate,False,,"gemini,openai",anthropic
hierarchical_conditional,irp_oscillation_rate,False,"gemini,openai",,anthropic
hierarchical_conditional,misinterpretation_rate,False,"gemini,openai",,anthropic
hierarchical_conditional,rework_cost_tokens,True,openai,"anthropic,gemini",
hierarchical_conditional,self_contradiction_rate,False,,gemini,"anthropic,openai"
hierarchical_conditional,stability_variance,False,"gemini,openai",,anthropic
hierarchical_conditional,trace_completeness,False,,gemini,"anthropic,openai"
hierarchical_conditional,update_consistency,False,,gemini,"anthropic,openai"
hierarchical_delta,internal_coherence_error_rate,False,gemini,,"anthropic,openai"
hierarchical_delta,irp_monotonic_progress_rate,False,,"anthropic,gemini,openai",
hierarchical_delta,irp_oscillation_rate,False,"anthropic,gemini,openai",,
hierarchical_delta,misinterpretation_rate,False,"anthropic,gemini,openai",,
hierarchical_delta,rework_cost_tokens,False,"anthropic,gemini,openai",,
hierarchical_delta,self_contradiction_rate,False,gemini,,"anthropic,openai"
hierarchical_delta,stability_variance,False,"anthropic,gemini,openai",,
hierarchical_delta,trace_completeness,False,gemini,,"anthropic,openai"
hierarchical_delta,update_consistency,False,gemini,,"anthropic,openai"
